fixture_id,width,height,phase,operation,recipe_index,measured_count,min_ms,p50_ms,p95_ms,p99_ms,max_ms,p95_target_ms,p95_target_met
private-L1D-20c-DNG,5464,3640,kernel,white_balance,0,100,2.313584,2.415,2.516417,2.58925,2.5976660000000003,100,True
private-L1D-20c-DNG,5464,3640,warm_service,white_balance,0,100,114.47925000000001,118.688125,123.764292,129.293291,388.02037499999994,250,True
private-L1D-20c-DNG,5464,3640,kernel,contrast,0,100,11.05425,11.30275,11.681333,15.511208,15.641667000000002,100,True
private-L1D-20c-DNG,5464,3640,warm_service,contrast,0,100,124.065167,128.332625,134.26495799999998,139.397333,140.421042,250,True
private-L1D-20c-DNG,5464,3640,kernel,highlights,0,100,8.175167,8.332667,8.541459,8.566167,11.5665,100,True
private-L1D-20c-DNG,5464,3640,warm_service,highlights,0,100,122.68633399999999,126.1255,129.546541,138.220833,340.68466600000005,250,True
private-L1D-20c-DNG,5464,3640,kernel,shadows,0,100,8.179334,8.335375,8.43175,8.497291,8.590458,100,True
private-L1D-20c-DNG,5464,3640,warm_service,shadows,0,100,122.374542,126.229375,130.21225,136.25816700000001,137.466,250,True
private-L1D-20c-DNG,5464,3640,kernel,saturation,0,100,8.068667,8.165875,8.262042000000001,8.357667,8.407959,100,True
private-L1D-20c-DNG,5464,3640,warm_service,saturation,0,100,120.916792,125.357,134.80145800000003,138.85066600000002,337.794667,250,True
private-L1D-20c-DNG,5464,3640,kernel,vibrance,0,100,8.075042,8.287958,8.461666,8.556916,8.614417,100,True
private-L1D-20c-DNG,5464,3640,warm_service,vibrance,0,100,121.827292,125.869958,130.337208,141.63187499999998,142.130333,250,True
private-L1D-20c-DNG,5464,3640,kernel,sharpening,0,100,17.108375,17.352791999999997,17.623041,17.702749999999998,17.710917,100,True
private-L1D-20c-DNG,5464,3640,warm_service,sharpening,0,100,134.12025,137.676166,149.514375,169.334958,272.313375,250,True
private-L1D-20c-DNG,5464,3640,kernel,luminance_noise,0,100,20.445041,20.693959000000003,21.799417000000002,23.243458,24.209875,100,True
private-L1D-20c-DNG,5464,3640,warm_service,luminance_noise,0,100,134.001667,139.050125,150.756833,160.008041,168.049958,250,True
private-L1D-20c-DNG,5464,3640,kernel,chroma_noise,0,100,20.632625,20.951833,21.497166,22.100082999999998,27.164125000000002,100,True
private-L1D-20c-DNG,5464,3640,warm_service,chroma_noise,0,100,134.328791,138.23225,145.577833,152.330833,398.397959,250,True
private-L1D-20c-DNG,5464,3640,kernel,combined,0,100,56.002708,56.619041,57.610125,57.88725,57.894958,100,True
private-L1D-20c-DNG,5464,3640,warm_service,combined,0,100,168.06199999999998,171.632417,175.324125,184.015791,185.18525,250,True
private-L1D-20c-DNG,5464,3640,full,combined,0,20,575.798583,584.270458,587.950625,592.134541,592.134541,5000,True
public-panasonic-gx7mk2,4592,3448,kernel,neutral,0,100,2.599291,2.666125,2.7447079999999997,2.7676250000000002,2.84325,100,True
public-panasonic-gx7mk2,4592,3448,kernel,crop,0,100,3.083209,3.154625,3.26025,3.316958,3.3645,100,True
public-panasonic-gx7mk2,4592,3448,warm_service,crop,0,100,123.609542,127.29358299999998,131.44270799999998,138.06995799999999,139.24445899999998,250,True
public-panasonic-gx7mk2,4592,3448,kernel,straighten,0,100,11.645166,11.866416,12.068583,12.125,12.172832999999999,100,True
public-panasonic-gx7mk2,4592,3448,warm_service,straighten,0,100,140.590875,147.60004099999998,153.704542,157.271083,359.407834,250,True
public-panasonic-gx7mk2,4592,3448,kernel,exposure,0,100,9.149291,9.333499999999999,9.500708,9.585666,9.645959000000001,100,True
public-panasonic-gx7mk2,4592,3448,warm_service,exposure,0,100,137.89683399999998,142.505041,147.414333,157.592625,157.623833,250,True
public-panasonic-gx7mk2,4592,3448,kernel,white_balance,0,100,2.615625,2.7044170000000003,2.791291,2.836917,2.880667,100,True
public-panasonic-gx7mk2,4592,3448,warm_service,white_balance,0,100,132.38525,135.11937500000002,144.995,156.24279199999998,314.012542,250,True
public-panasonic-gx7mk2,4592,3448,kernel,contrast,0,100,12.476709000000001,12.696083,12.936584,14.2455,15.716875000000002,100,True
public-panasonic-gx7mk2,4592,3448,warm_service,contrast,0,100,140.48695899999998,144.994417,149.207375,159.967917,166.68687500000001,250,True
public-panasonic-gx7mk2,4592,3448,kernel,highlights,0,100,9.205042,9.413542,9.528084,9.621042,9.64875,100,True
public-panasonic-gx7mk2,4592,3448,warm_service,highlights,0,100,138.025542,142.269042,146.574041,155.433375,358.12075,250,True
public-panasonic-gx7mk2,4592,3448,kernel,shadows,0,100,9.197875,9.411833,9.536875,9.632375,11.892041,100,True
public-panasonic-gx7mk2,4592,3448,warm_service,shadows,0,100,138.888292,142.08175,145.238417,154.17049999999998,155.416125,250,True
public-panasonic-gx7mk2,4592,3448,kernel,saturation,0,100,9.123583,9.361042,9.56075,9.679708,9.757042,100,True
public-panasonic-gx7mk2,4592,3448,warm_service,saturation,0,100,137.162541,142.325958,150.112791,155.537666,155.633291,250,True
public-panasonic-gx7mk2,4592,3448,kernel,vibrance,0,100,9.156459,9.335625,9.474292,9.537834,9.62925,100,True
public-panasonic-gx7mk2,4592,3448,warm_service,vibrance,0,100,137.49775,142.057208,151.367291,157.905375,309.514292,250,True
public-panasonic-gx7mk2,4592,3448,kernel,sharpening,0,100,18.700499999999998,19.228917000000003,19.602459,19.647542,19.936584,100,True
public-panasonic-gx7mk2,4592,3448,warm_service,sharpening,0,100,150.69225,155.129667,162.170084,168.13174999999998,171.558375,250,True
public-panasonic-gx7mk2,4592,3448,kernel,luminance_noise,0,100,23.061542,23.53825,23.788417,24.280708,24.387084,100,True
public-panasonic-gx7mk2,4592,3448,warm_service,luminance_noise,0,100,150.19887500000002,155.395084,159.504584,190.80991699999998,336.599875,250,True
public-panasonic-gx7mk2,4592,3448,kernel,chroma_noise,0,100,23.194083,23.606792000000002,23.93175,24.04,24.056250000000002,100,True
public-panasonic-gx7mk2,4592,3448,warm_service,chroma_noise,0,100,150.221083,155.90366699999998,161.073625,171.771625,176.50512500000002,250,True
public-panasonic-gx7mk2,4592,3448,kernel,combined,0,100,60.859958999999996,61.813916,62.458166000000006,62.821792,63.126083,100,True
public-panasonic-gx7mk2,4592,3448,warm_service,combined,0,100,189.46574999999999,193.118042,197.105666,204.57429199999999,472.000958,250,True
public-panasonic-gx7mk2,4592,3448,full,combined,0,20,445.671417,447.214542,451.022792,452.35979100000003,452.35979100000003,5000,True
private-Canon-EOS-6D-PSD,2682,3353,kernel,neutral,0,100,2.767583,2.8385,2.922666,3.466541,3.477292,100,True
private-Canon-EOS-6D-PSD,2682,3353,kernel,crop,0,100,3.263167,3.3676660000000003,3.458292,3.4754590000000003,3.482417,100,True
private-Canon-EOS-6D-PSD,2682,3353,warm_service,crop,0,100,124.016583,128.30841600000002,131.636833,138.92808300000002,140.592167,250,True
private-Canon-EOS-6D-PSD,2682,3353,kernel,straighten,0,100,12.361832999999999,12.630541000000001,12.847124999999998,13.063542,17.258209,100,True
private-Canon-EOS-6D-PSD,2682,3353,warm_service,straighten,0,100,140.759167,147.08354200000002,153.622417,162.32970899999998,276.471917,250,True
private-Canon-EOS-6D-PSD,2682,3353,kernel,exposure,0,100,9.709583,9.936708000000001,10.106292,10.412958,13.4355,100,True
private-Canon-EOS-6D-PSD,2682,3353,warm_service,exposure,0,100,136.564292,142.686083,151.575125,163.43374999999997,164.303209,250,True
private-Canon-EOS-6D-PSD,2682,3353,kernel,white_balance,0,100,2.814625,2.8944579999999998,2.988209,3.05225,3.0655,100,True
private-Canon-EOS-6D-PSD,2682,3353,warm_service,white_balance,0,100,131.769625,135.642667,141.77475,148.03620800000002,379.887959,250,True
private-Canon-EOS-6D-PSD,2682,3353,kernel,contrast,0,100,13.308666,13.572375,13.769375,13.915167,13.97,100,True
